expression,reading,meaning,tags,JLPT Level
こだわる,こだわる,"to fuss over, to be particular about",JLPT_1 JLPT,1
誇張,こちょう,exaggeration,JLPT_1 JLPT,1
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",JLPT_1 JLPT,1
滑稽,こっけい,"funny, humorous, comical",JLPT_1 JLPT,1
国交,こっこう,diplomatic relations,JLPT_1 JLPT,1
骨董品,こっとうひん,curio,JLPT_1 JLPT,1
固定,こてい,"fixation, fixing (e.g., salary, capital)",JLPT_1 JLPT,1
事柄,ことがら,"matter, thing, affair, circumstance",JLPT_1 JLPT,1
孤独,こどく,"isolation, loneliness, solitude",JLPT_1 JLPT,1
ことごとく,ことごとく,"altogether, entirely",JLPT_1 JLPT,1
言付け,ことづけ,to leave a message,JLPT_1 JLPT,1
殊に,ことに,"especially, above all",JLPT_1 JLPT,1
粉々,こなごな,in very small pieces,JLPT_1 JLPT,1
好ましい,このましい,"nice, likable, desirable",JLPT_1 JLPT,1
碁盤,ごばん,Go board,JLPT_1 JLPT,1
個別,こべつ,particular case,JLPT_1 JLPT,1
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",JLPT_1 JLPT,1
細やか,こまやか,"meager, modest",JLPT_1 JLPT,1
コマーシャル,コマーシャル,a commercial,JLPT_1 JLPT,1
込める,こめる,"to include, to put into",JLPT_1 JLPT,1
コメント,コメント,comment,JLPT_1 JLPT,1
籠もる,こもる,"to seclude oneself, to be confined in",JLPT_1 JLPT,1
固有,こゆう,"characteristic, tradition, peculiar",JLPT_1 JLPT,1
暦,こよみ,"calendar, almanac",JLPT_1 JLPT,1
凝らす,こらす,"to concentrate, to devote, to peer into",JLPT_1 JLPT,1
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",JLPT_1 JLPT,1
孤立,こりつ,"isolation, helplessness",JLPT_1 JLPT,1
懲りる,こりる,"to learn by experience, to be disgusted with",JLPT_1 JLPT,1
凝る,こる,"to stiffen, to harden",JLPT_1 JLPT,1
根気,こんき,"patience; perseverance, energy",JLPT_1 JLPT,1
根拠,こんきょ,"basis, foundation",JLPT_1 JLPT,1
混血,こんけつ,"mixed race, mixed parentage",JLPT_1 JLPT,1
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,JLPT_1 JLPT,1
昆虫,こんちゅう,"insect, bug",JLPT_1 JLPT,1
根底,こんてい,"root, basis, foundation",JLPT_1 JLPT,1
混同,こんどう,"confusion, mixing, merger",JLPT_1 JLPT,1
コントラスト,コントラスト,contrast,JLPT_1 JLPT,1
コントロール,コントロール,control,JLPT_1 JLPT,1
コンパス,コンパス,compass,JLPT_1 JLPT,1
根本,こんぽん,"foundation, root, base",JLPT_1 JLPT,1
財,ざい,"fortune, riches",JLPT_1 JLPT,1
再会,さいかい,"meeting again, reunion",JLPT_1 JLPT,1
災害,さいがい,"calamity, disaster, misfortune",JLPT_1 JLPT,1
細菌,さいきん,"bacillus, bacterium, germ",JLPT_1 JLPT,1
細工,さいく,"work, craftsmanship, trick",JLPT_1 JLPT,1
採掘,さいくつ,mining,JLPT_1 JLPT,1
サイクル,サイクル,cycle,JLPT_1 JLPT,1
採決,さいけつ,"vote, roll call",JLPT_1 JLPT,1
再建,さいけん,(temple or shrine) rebuilding,JLPT_1 JLPT,1
再現,さいげん,"reproduction, return, revival",JLPT_1 JLPT,1
財源,ざいげん,"source of funds, resources, finances",JLPT_1 JLPT,1
在庫,ざいこ,"stockpile, stock",JLPT_1 JLPT,1
採算,さいさん,profit,JLPT_1 JLPT,1
サイズ,サイズ,size,JLPT_1 JLPT,1
再生,さいせい,"playback, regeneration, resuscitation",JLPT_1 JLPT,1
財政,ざいせい,"economy, financial affairs",JLPT_1 JLPT,1
最善,さいぜん,the very best,JLPT_1 JLPT,1
採択,さいたく,"adoption, selection, choice",JLPT_1 JLPT,1
栽培,さいばい,cultivation,JLPT_1 JLPT,1
再発,さいはつ,"return, relapse, reoccurrence",JLPT_1 JLPT,1
細胞,さいぼう,cell,JLPT_1 JLPT,1
採用,さいよう,"use, adopt",JLPT_1 JLPT,1
遮る,さえぎる,"to interrupt, to intercept, to obstruct",JLPT_1 JLPT,1
さえずる,さえずる,"to sing, to chirp, to twitter",JLPT_1 JLPT,1
冴える,さえる,"to be clear, to be bright, to be skillful",JLPT_1 JLPT,1
竿,さお,"rod, pole (e.g., for drying laundry)",JLPT_1 JLPT,1
栄える,さかえる,"to flourish, to prosper, to thrive",JLPT_1 JLPT,1
差額,さがく,"balance, difference, margin",JLPT_1 JLPT,1
杯,さかずき,wine cup,JLPT_1 JLPT,1
逆立ち,さかだち,"handstand, headstand",JLPT_1 JLPT,1
さきに (いぜん),さきに (いぜん),"before, earlier than, previously",JLPT_1 JLPT,1
詐欺,さぎ,"fraud, swindle",JLPT_1 JLPT,1
削減,さくげん,"cut, reduction",JLPT_1 JLPT,1
錯誤,さくご,mistake,JLPT_1 JLPT,1
作戦,さくせん,"military operations, tactics, strategy",JLPT_1 JLPT,1
叫び,さけび,"shout, scream, outcry",JLPT_1 JLPT,1
捧げる,ささげる,"to lift up, to give, to offer",JLPT_1 JLPT,1
差し掛かる,さしかかる,"to come near to, to approach",JLPT_1 JLPT,1
指図,さしず,"instruction, mandate",JLPT_1 JLPT,1
差し出す,さしだす,"to present, to submit, to hold out",JLPT_1 JLPT,1
差し支える,さしつかえる,"to interfere, to hinder",JLPT_1 JLPT,1
授ける,さずける,"to grant, to award, to teach",JLPT_1 JLPT,1
摩する,さする,"to rub, to stroke",JLPT_1 JLPT,1
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",JLPT_1 JLPT,1
定まる,さだまる,"to become settled, to be fixed",JLPT_1 JLPT,1
定める,さだめる,"to decide, to determine",JLPT_1 JLPT,1
座談会,ざだんかい,"symposium, round-table discussion",JLPT_1 JLPT,1
雑,ざつ,"rough, crude",JLPT_1 JLPT,1
雑貨,ざっか,"miscellaneous goods, general goods",JLPT_1 JLPT,1
殺人,さつじん,murder,JLPT_1 JLPT,1
察する,さっする,"to guess, to sense, to judge",JLPT_1 JLPT,1
雑談,ざつだん,"chatting, idle talk",JLPT_1 JLPT,1
さっと,さっと,"suddenly, smoothly",JLPT_1 JLPT,1
さっぱりする,さっぱりする,to refresh,JLPT_1 JLPT,1
悟る,さとる,"to attain enlightenment, to understand",JLPT_1 JLPT,1
最中,さなか,"in the middle of, midst",JLPT_1 JLPT,1
座標,ざひょう,coordinates,JLPT_1 JLPT,1
さほど,さほど,"not so, not that much",JLPT_1 JLPT,1
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki,1
様,さま,state; way (a person does something); Mr. or Mrs.,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,1
寒気,さむけ,"chill, shiver, cold",JLPT_1 JLPT,1
侍,さむらい,samurai,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,1
さも,さも,"with gusto, with satisfaction",JLPT_1 JLPT,1
作用,さよう,"operation, effect, function",JLPT_1 JLPT,1
さらう (こどもを～),さらう (こどもを～),to kidnap,JLPT_1 JLPT,1
障る,さわる,"to hinder, to interfere with, to affect",JLPT_1 JLPT,1
酸,さん,acid,JLPT_1 JLPT,1
山岳,さんがく,mountains,JLPT_1 JLPT,1
参議院,さんぎいん,House of Councilors,JLPT_1 JLPT,1
産休,さんきゅう,maternity leave,JLPT_1 JLPT,1
サンキュー,サンキュー,thank you,JLPT_1 JLPT,1
残金,ざんきん,remaining money,JLPT_1 JLPT,1
産後,さんご,"postpartum, after childbirth",JLPT_1 JLPT,1
残酷,ざんこく,"cruelty, harshness",JLPT_1 JLPT,1
産出,さんしゅつ,"yield, produce",JLPT_1 JLPT,1
参照,さんしょう,"reference, consultation, consultation",JLPT_1 JLPT,1
参上,さんじょう,"calling on, visiting",JLPT_1 JLPT,1
残高,ざんだか,"(bank) balance, remainder",JLPT_1 JLPT,1
サンタクロース,サンタクロース,Santa Claus,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,1
桟橋,さんばし,"wharf, jetty, pier",JLPT_1 JLPT,1
賛美,さんび,"praise, adoration, glorification",JLPT_1 JLPT,1
山腹,さんぷく,"hillside, mountainside",JLPT_1 JLPT,1
産婦人科,さんふじんか,maternity and gynecology department,JLPT_1 JLPT,1
産物,さんぶつ,"product, result, fruit",JLPT_1 JLPT,1
山脈,さんみゃく,mountain range,JLPT_1 JLPT,1
仕上がり,しあがり,"finish, end, completion",JLPT_1 JLPT,1
仕上,しあげ,"end, finishing touches",JLPT_1 JLPT,1
仕上げる,しあげる,"to finish up, to complete",JLPT_1 JLPT,1
飼育,しいく,"breeding, raising, rearing",JLPT_1 JLPT,1
強いて,しいて,"to dare, to insist",JLPT_1 JLPT,1
シート,シート,seat; sheet,JLPT_1 JLPT,1
ジーパン,ジーパン,jeans,JLPT_1 JLPT,1
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",JLPT_1 JLPT,1
強いる,しいる,"to force, to compel, to coerce",JLPT_1 JLPT,1
潮,しお,tide,JLPT_1 JLPT,1
歯科,しか,dentistry,JLPT_1 JLPT,1
自我,じが,"self, ego",JLPT_1 JLPT,1
自覚,じかく,self-conscious,JLPT_1 JLPT,1
仕掛,しかけ,"device, trick, mechanism",JLPT_1 JLPT,1
仕掛ける,しかける,"to lay, to set, to wage",JLPT_1 JLPT,1
しかしながら,しかしながら,"however, nevertheless",JLPT_1 JLPT,1
色彩,しきさい,color,JLPT_1 JLPT,1
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",JLPT_1 JLPT,1
しきたり,しきたり,"custom, conventional practice, tradition",JLPT_1 JLPT,1
事業,じぎょう,"project, enterprise, business",JLPT_1 JLPT,1
軽蔑,けいべつ,"scorn, disdain",JLPT_1 JLPT,1
経歴,けいれき,"personal history, career",JLPT_1 JLPT,1
経路,けいろ,"course, route, channel",JLPT_1 JLPT,1
けがらわしい,けがらわしい,"filthy, unfair",JLPT_1 JLPT,1
劇団,げきだん,"troupe, theatrical company",JLPT_1 JLPT,1
激励,げきれい,encouragement,JLPT_1 JLPT,1
ゲスト,ゲスト,guest,JLPT_1 JLPT,1
獣,けだもの,"beast, brute",JLPT_1 JLPT,1
決,けつ,"decision, vote",JLPT_1 JLPT,1
決意,けつい,"decision, determination",JLPT_1 JLPT,1
結核,けっかく,tuberculosis,JLPT_1 JLPT,1
決議,けつぎ,"resolution, vote, decision",JLPT_1 JLPT,1
結合,けつごう,"combination, union",JLPT_1 JLPT,1
決算,けっさん,"balance sheet, settlement of accounts",JLPT_1 JLPT,1
月謝,げっしゃ,monthly tuition fee,JLPT_1 JLPT,1
決勝,けっしょう,finals (in sports),JLPT_1 JLPT,1
結晶,けっしょう,"crystal, crystallization",JLPT_1 JLPT,1
結成,けっせい,formation,JLPT_1 JLPT,1
結束,けっそく,"union, unity",JLPT_1 JLPT,1
げっそり,げっそり,"being disheartened, losing weight",JLPT_1 JLPT,1
決断,けつだん,"decision, determination",JLPT_1 JLPT,1
月賦,げっぷ,monthly installment,JLPT_1 JLPT,1
欠乏,けつぼう,shortage,JLPT_1 JLPT,1
蹴飛ばす,けとばす,"to kick away, to kick (someone)",JLPT_1 JLPT,1
けなす,けなす,to speak ill of,JLPT_1 JLPT,1
煙たい,けむたい,"smoky, feeling awkward",JLPT_1 JLPT,1
煙る,けむる,"to smoke (e.g., fire)",JLPT_1 JLPT,1
獣,けもの,"beast, brute",JLPT_1 JLPT,1
家来,けらい,"retainer, retinue, servant",JLPT_1 JLPT,1
下痢,げり,diarrhea,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,1
権威,けんい,"authority, power, influence",JLPT_1 JLPT,1
兼業,けんぎょう,holding two jobs at the same time,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,1
原形,げんけい,"original form, base form",JLPT_1 JLPT,1
原型,げんけい,"prototype, model, archetypal",JLPT_1 JLPT,1
権限,けんげん,"power, authority, jurisdiction",JLPT_1 JLPT,1
現行,げんこう,"present, current, in operation",JLPT_1 JLPT,1
健在,けんざい,"in good health, well",JLPT_1 JLPT,1
原作,げんさく,original work,JLPT_1 JLPT,1
検事,けんじ,public prosecutor,JLPT_1 JLPT,1
原子,げんし,atom,JLPT_1 JLPT,1
元首,げんしゅ,"ruler, sovereign",JLPT_1 JLPT,1
原書,げんしょ,original document,JLPT_1 JLPT,1
懸賞,けんしょう,"offering prizes, winning, reward",JLPT_1 JLPT,1
健全,けんぜん,"health, soundness, wholesome",JLPT_1 JLPT,1
元素,げんそ,element,JLPT_1 JLPT,1
同調,どうちょう,"sympathy, agree with, alignment",JLPT_1 JLPT,1
到底,とうてい,(cannot) possibly,JLPT_1 JLPT,1
動的,どうてき,"dynamic, kinetic",JLPT_1 JLPT,1
尊い,とうとい,"precious, valuable, noble",JLPT_1 JLPT,1
貴い,とうとい,"precious, valuable, noble",JLPT_1 JLPT,1
同等,どうとう,"equality, equal, same rank",JLPT_1 JLPT,1
堂々,どうどう,"magnificent, grand, impressive",JLPT_1 JLPT,1
尊ぶ,とうとぶ,"to value, to prize, to esteem",JLPT_1 JLPT,1
どうにか,どうにか,"in some way or other, one way or another",JLPT_1 JLPT,1
投入,とうにゅう,"throw, investment, making (an electrical circuit)",JLPT_1 JLPT,1
導入,どうにゅう,"introduction, bringing in, leading in",JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,1
当人,とうにん,"the one concerned, the said person",JLPT_1 JLPT,1
同封,どうふう,"enclosure (e.g., in a letter)",JLPT_1 JLPT,1
逃亡,とうぼう,escape,JLPT_1 JLPT,1
冬眠,とうみん,"hibernation, winter sleep",JLPT_1 JLPT,1
同盟,どうめい,"alliance, union, league",JLPT_1 JLPT,1
どうやら,どうやら,"it seems like, somehow or other",JLPT_1 JLPT,1
動力,どうりょく,"power, motive power, dynamic force",JLPT_1 JLPT,1
登録,とうろく,"registration, register, record",JLPT_1 JLPT,1
討論,とうろん,discussion; debate,JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,1
遠ざかる,とおざかる,to go far off,JLPT_1 JLPT,1
遠回り,とおまわり,"detour, roundabout way",JLPT_1 JLPT,1
トーン,トーン,tone,JLPT_1 JLPT,1
とかく,とかく,"anyhow, anyway, in any case",JLPT_1 JLPT,1
とがめる,とがめる,"to blame, to rebuke",JLPT_1 JLPT,1
時折,ときおり,sometimes,JLPT_1 JLPT,1
とぎれる,とぎれる,"to pause, to be interrupted",JLPT_1 JLPT,1
研ぐ,とぐ,"to sharpen, to grind, to polish",JLPT_1 JLPT,1
特技,とくぎ,special talent; skill,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,1
独裁,どくさい,"dictatorship, despotism",JLPT_1 JLPT,1
特産,とくさん,"specialty, special product",JLPT_1 JLPT,1
独自,どくじ,"original, peculiar, characteristic",JLPT_1 JLPT,1
特集,とくしゅう,"feature (e.g., newspaper, special edition, report)",JLPT_1 JLPT,1
独占,どくせん,monopoly,JLPT_1 JLPT,1
独創,どくそう,originality,JLPT_1 JLPT,1
得点,とくてん,"score, points made",JLPT_1 JLPT,1
特派,とくは,"send specially, special envoy",JLPT_1 JLPT,1
特有,とくゆう,"characteristic (of, peculiar (to))",JLPT_1 JLPT,1
とげ (をさす),とげ (をさす),thorn,JLPT_1 JLPT,1
遂げる,とげる,"to accomplish, to achieve, to carry out",JLPT_1 JLPT,1
～どころか,～どころか,"rather, far from",JLPT_1 JLPT,1
年頃,としごろ,"age, marriageable age, adolescence",JLPT_1 JLPT,1
戸締り,とじまり,"closing up, locking the doors",JLPT_1 JLPT,1
途上,とじょう,"en/in route, half way",JLPT_1 JLPT,1
土台,どだい,"foundation, base, basis",JLPT_1 JLPT,1
途絶える,とだえる,"to stop, to cease, to come to an end",JLPT_1 JLPT,1
特許,とっきょ,"special permission, patent",JLPT_1 JLPT,1
特権,とっけん,"privilege, special right",JLPT_1 JLPT,1
とっさに,とっさに,at once,JLPT_1 JLPT,1
突如,とつじょ,"suddenly, all of a sudden",JLPT_1 JLPT,1
とって,とって,"handle, grip, knob",JLPT_1 JLPT,1
突破,とっぱ,"breaking through, breakthrough, penetration",JLPT_1 JLPT,1
土手,どて,"embankment, bank",JLPT_1 JLPT,1
届,とどけ,"report, notification, registration",JLPT_1 JLPT,1
滞る,とどこおる,"to stagnate, to be delayed",JLPT_1 JLPT,1
整える,ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money",JLPT_1 JLPT,1
止める,とどめる,"to end, to stop, to cease, to resign",JLPT_1 JLPT,1
唱える,となえる,"to recite, to chant, to call upon",JLPT_1 JLPT,1
殿様,とのさま,feudal lord,JLPT_1 JLPT,1
土俵,どひょう,arena,JLPT_1 JLPT,1
扉,とびら,"door, opening",JLPT_1 JLPT,1
溝,どぶ,"ditch, drain, gap",JLPT_1 JLPT,1
徒歩,とほ,"walking, going on foot",JLPT_1 JLPT,1
土木,どぼく,public works,JLPT_1 JLPT,1
とぼける,とぼける,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage",JLPT_1 JLPT,1
乏しい,とぼしい,"meager, scarce, hard up, poor",JLPT_1 JLPT,1
富,とみ,"wealth, fortune",JLPT_1 JLPT,1
富む,とむ,"to be rich, to become rich",JLPT_1 JLPT,1
共稼ぎ,ともかせぎ,"working together, (husband and wife) earning a living together",JLPT_1 JLPT,1
伴う,ともなう,"to accompany, to bring with",JLPT_1 JLPT,1
共働き,ともばたらき,dual income (husband and wife both working),JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,1
ドライ,ドライ,dry,JLPT_1 JLPT,1
ドライクリーニング,ドライクリーニング,dry cleaning,JLPT_1 JLPT,1
ドライバー,ドライバー,"driver, screwdriver",JLPT_1 JLPT,1
ドライブイン,ドライブイン,drive in,JLPT_1 JLPT,1
トラブル,トラブル,trouble (sometimes used as a verb),JLPT_1 JLPT,1
トランジスター,トランジスター,transistor,JLPT_1 JLPT,1
とりあえず,とりあえず,"at once, first of all, for the time being",JLPT_1 JLPT,1
取扱,とりあつかい,"treatment, handling, management",JLPT_1 JLPT,1
取り扱う,とりあつかう,"to treat, to handle, to deal in",JLPT_1 JLPT,1
鳥居,とりい,Shinto shrine archway,JLPT_1 JLPT,1
取り替え,とりかえ,"swap, exchange",JLPT_1 JLPT,1
取り組む,とりくむ,"to tackle, to engage in a bout, to come to grips with",JLPT_1 JLPT,1
取締り,とりしまり,"control, crackdown, supervision",JLPT_1 JLPT,1
取り締まる,とりしまる,"to crack down, to control, to supervise",JLPT_1 JLPT,1
取り調べる,とりしらべる,"to investigate, to examine",JLPT_1 JLPT,1
取り立てる,とりたてる,"to collect, to extort",JLPT_1 JLPT,1
取り次ぐ,とりつぐ,"to act as an agent for, to announce (someone), to convey (a message)",JLPT_1 JLPT,1
取り付ける,とりつける,"to furnish, to install; to get someone's agreement",JLPT_1 JLPT,1
取り除く,とりのぞく,"to remove, to take away, to set apart",JLPT_1 JLPT,1
取引,とりひき,"transactions, dealings, business",JLPT_1 JLPT,1
取り巻く,とりまく,"to surround, to circle, to enclose",JLPT_1 JLPT,1
取り混ぜる,とりまぜる,"to mix, to put together",JLPT_1 JLPT,1
取り戻す,とりもどす,"to take back, to regain",JLPT_1 JLPT,1
取り寄せる,とりよせる,"to order, to send away for",JLPT_1 JLPT,1
ドリル,ドリル,drill,JLPT_1 JLPT,1
副,とりわけ,"especially, above all",JLPT_1 JLPT,1
とろける,とろける,melt; to be enchanted with,JLPT_1 JLPT,1
鈍感,どんかん,"thickheadedness, stolidity",JLPT_1 JLPT,1
とんだ,とんだ,"terrible, awful, serious, absolutely not",JLPT_1 JLPT,1
度忘れ,どわすれ,"lapse of memory, forget for a moment",JLPT_1 JLPT,1
問屋,とんや,wholesale store,JLPT_1 JLPT,1
内閣,ないかく,"cabinet, (government)",JLPT_1 JLPT,1
乃至,ないし,"from...to, between...and, or",JLPT_1 JLPT,1
内緒,ないしょ,"secrecy, privacy, secret",JLPT_1 JLPT,1
内心,ないしん,"innermost thoughts, real intention, inmost heart",JLPT_1 JLPT,1
内蔵,ないぞう,internal organ; built-in,JLPT_1 JLPT,1
ナイター,ナイター,"game under lights (e.g., baseball), night game",JLPT_1 JLPT,1
内部,ないぶ,"interior, inside, internal",JLPT_1 JLPT,1
内乱,ないらん,"civil war, domestic conflict",JLPT_1 JLPT,1
内陸,ないりく,inland,JLPT_1 JLPT,1
苗,なえ,rice seedling,JLPT_1 JLPT,1
なおさら,なおさら,"all the more, still less",JLPT_1 JLPT,1
流し,ながし,sink,JLPT_1 JLPT,1
長々,ながなが,"long, drawn-out, very long",JLPT_1 JLPT,1
中程,なかほど,"middle, midway",JLPT_1 JLPT,1
渚,なぎさ,"water's edge, beach, shore",JLPT_1 JLPT,1
